KEGG_name,KEGG_classification,gene_name,count
hsa00604_Glycosphingolipid_biosynthesis,Glycan biosynthesis and metabolism,B3GALT4/B4GALNT1/HEXA/HEXB/SLC33A1/ST3GAL1/ST3GAL2/ST3GAL5/ST6GALNAC4/ST6GALNAC5/ST8SIA1/ST8SIA5,12
hsa00620_Pyruvate_metabolism,Carbohydrate metabolism,ACACB/ACAT1/ACAT2/ACYP1/ADH1A/ADH5/ADH6/AKR1A1/ALDH1B1/ALDH2/ALDH3A2/ALDH7A1/ALDH9A1/DLAT/DLD/FH/GLO1/GRHPR/HAGH/LDHA/LDHAL6B/LDHB/LDHC/MDH1/MDH2/ME1/ME2/ME3/PC/PCK1/PCK2/PDHA1/PDHB/PKLR,34
hsa00630_Glyoxylate_and_dicarboxylate_metabolism,Carbohydrate metabolism,ACAT1/ACAT2/ACO1/ACO2/CAT/CS/DLD/GLDC/GLUL/GRHPR/MDH1/MDH2/PCCA/PCCB/PGP/SHMT1/SHMT2,17
hsa00640_Propanoate_metabolism,Carbohydrate metabolism,ABAT/ACACB/ACADS/ACOX1/ACOX3/ACSS3/ALDH6A1/BCKDHA/BCKDHB/DBT/DLD/EHHADH/HADHA/HIBCH/LDHA/LDHAL6B/LDHB/LDHC/MLYCD/PCCA/PCCB/SUCLA2/SUCLG1/SUCLG2,24
hsa00650_Butanoate_metabolism,Carbohydrate metabolism,AACS/ABAT/ACADS/ACAT1/ACAT2/ACSM1/ACSM3/ACSM5/ALDH5A1/BDH1/EHHADH/GAD1/HADH/HADHA/HMGCL/HMGCS1/L2HGDH/OXCT1/OXCT2,19
hsa00670_One_carbon_pool_by_folate,Metabolism of cofactors and vitamins,ALDH1L1/ATIC/DHFR/FTCD/GART/MTHFD1/MTHFD2/MTHFD2L/MTHFR/MTR/SHMT1/SHMT2/TYMS,13
hsa00730_Thiamine_metabolism,Metabolism of cofactors and vitamins,ACP1/AK1/AK2/AK5/ALPL/NFS1/THTPA/TPK1,8
hsa00740_Riboflavin_metabolism,Metabolism of cofactors and vitamins,ACP1/ACP2/ACP5/BLVRB/ENPP1/FLAD1/RFK,7
hsa00750_Vitamin_B6_metabolism,Metabolism of cofactors and vitamins,AOX1/PNPO/PSAT1,3
hsa00760_Nicotinate_and_nicotinamide_metabolism,Metabolism of cofactors and vitamins,AOX1/BST1/CD38/ENPP1/NADK/NADSYN1/NAMPT/NMNAT2/NNT/NT5C/NT5C2/NT5E/NT5M/QPRT/SIRT1/SIRT2/SIRT3/SIRT4/SIRT5/SIRT6/SIRT7,21
hsa00770_Pantothenate_and_CoA_biosynthesis,Metabolism of cofactors and vitamins,AASDHPPT/ALDH1B1/ALDH2/ALDH3A2/BCAT1/BCAT2/COASY/CSAD/DPYD/DPYS/ENPP1/PANK2/PANK3/PPCDC/UPB1/VNN1/VNN2,17
hsa00780_Biotin_metabolism,Metabolism of cofactors and vitamins,BTD/HLCS/OXSM,3
hsa00785_Lipoic_acid_metabolism,Metabolism of cofactors and vitamins,ACSM1/LIAS/LIPT1,3
hsa00790_Folate_biosynthesis,Metabolism of cofactors and vitamins,AKR1B1/AKR1C3/ALPL/CBR1/DHFR/FPGS/GCH1/GGH/GPHN/MOCOS/MOCS1/MOCS2/PCBD1/PTS/QDPR/SPR/TPH1,17
hsa00830_Retinol_metabolism,Metabolism of cofactors and vitamins,ADH1A/ADH5/ADH6/ALDH1A1/ALDH1A2/ALDH1A3/AOX1/CYP1A1/CYP26A1/CYP26B1/CYP2C8/CYP2W1/CYP3A4/CYP3A5/DHRS3/DHRS9/HSD17B6/PNPLA4/RDH11/RDH16/RETSAT/UGT2B17,22
hsa00860_Porphyrin_metabolism,Metabolism of cofactors and vitamins,ALAD/ALAS1/ALAS2/BLVRA/BLVRB/COX10/COX15/CP/CPOX/FECH/FXN/GUSB/HCCS/HEPH/HMBS/HMOX1/HMOX2/PPOX/UGT2B17/UROD/UROS,21
hsa00900_Terpenoid_backbone_biosynthesis,Metabolism of terpenoids and polyketides,ACAT1/ACAT2/DHDDS/FDPS/FNTA/GGPS1/HMGCR/HMGCS1/ICMT/IDI1/MVD/MVK/PCYOX1/PDSS1/PDSS2/PMVK/ZMPSTE24,17
hsa00910_Nitrogen_metabolism,Energy metabolism,CA1/CA12/CA14/CA2/CA3/CA4/CA5B/CA7/CA8/CA9/CPS1/GLUD1/GLUD2/GLUL,14
hsa00920_Sulfur_metabolism,Energy metabolism,BPNT1/ETHE1/MPST/PAPSS1/PAPSS2/SELENBP1/SUOX/TST,8
hsa00970_Aminoacyl-tRNA_biosynthesis,Translation,CARS2/DARS2/FARS2/FARSA/GATC/HARS2/IARS2/LARS2/NARS2/QRSL1/RARS2/WARS2/YARS2,13
hsa00980_Metabolism_of_xenobiotics_by_cytochrome_P450,Xenobiotics biodegradation and metabolism,ADH1A/ADH5/ADH6/AKR1C1/AKR7A2/AKR7A3/ALDH3A1/ALDH3B1/ALDH3B2/CBR1/CBR3/CYP1A1/CYP1B1/CYP2E1/CYP3A4/CYP3A5/EPHX1/GSTA4/GSTK1/GSTM3/GSTM4/GSTM5/GSTP1/HPGDS/MGST2/MGST3/UGT2B17,27
hsa00982_Drug_metabolism_cytochrome_P450,Xenobiotics biodegradation and metabolism,ADH1A/ADH5/ADH6/ALDH3A1/ALDH3B1/ALDH3B2/AOX1/CYP2C8/CYP2E1/CYP3A4/CYP3A5/FMO1/FMO5/GSTA4/GSTK1/GSTM3/GSTM4/GSTM5/GSTP1/HPGDS/MAOA/MGST2/MGST3/UGT2B17,24
hsa00983_Drug_metabolism_other_enzymes,Xenobiotics biodegradation and metabolism,CDA/CES2/CMPK1/CYP2E1/CYP3A4/DPYD/DPYS/DUT/GMPS/GSTA4/GSTM3/GSTM4/GSTM5/GSTP1/GUSB/HPRT1/IMPDH1/ITPA/MGST2/MGST3/MPO/NAT1/NME3/NME4/NME6/NME7/RRM1/RRM2/TK1/TK2/TPMT/UCKL1/UGT2B17/UMPS/UPB1/UPP1/XDH,37
hsa01040_Biosynthesis_of_unsaturated_fatty_acids,Lipid metabolism,ACAA1/ACOT7/ACOX1/ACOX3/BAAT/ELOVL2/ELOVL5/ELOVL6/FADS2/HSD17B12/HSD17B4/SCD/SCD5/SCP2,14
